,reward,workers,supply_depot,barracks
599,9.0,16.0,4.0,2.0
600,19.0,20.0,5.0,2.0
601,25.0,16.0,5.0,2.0
602,18.0,17.0,5.0,2.0
603,1.0,16.0,3.0,2.0
604,1.0,14.0,5.0,2.0
605,11.0,18.0,4.0,2.0
606,4.0,17.0,5.0,2.0
607,14.0,13.0,3.0,2.0
608,10.0,17.0,3.0,2.0
609,19.0,18.0,3.0,2.0
610,11.0,21.0,5.0,2.0
611,11.0,23.0,5.0,2.0
612,9.0,21.0,5.0,2.0
613,36.0,14.0,5.0,2.0
614,9.0,16.0,4.0,2.0
615,9.0,15.0,4.0,2.0
616,20.0,21.0,4.0,2.0
617,26.0,16.0,5.0,2.0
618,19.0,17.0,5.0,2.0
619,26.0,18.0,5.0,2.0
620,15.0,14.0,4.0,2.0
621,9.0,17.0,3.0,2.0
622,21.0,23.0,5.0,2.0
623,17.0,20.0,5.0,2.0
624,5.0,16.0,5.0,2.0
625,19.0,20.0,5.0,2.0
626,0.0,17.0,2.0,2.0
627,27.0,16.0,4.0,2.0
628,26.0,15.0,5.0,1.0
629,23.0,16.0,5.0,2.0
630,1.0,20.0,5.0,2.0
631,5.0,17.0,3.0,2.0
632,12.0,20.0,5.0,2.0
633,7.0,21.0,4.0,2.0
634,28.0,19.0,5.0,2.0
635,12.0,21.0,5.0,2.0
636,22.0,15.0,5.0,2.0
637,7.0,22.0,3.0,2.0
638,15.0,15.0,5.0,2.0
639,25.0,14.0,3.0,2.0
640,32.0,15.0,4.0,2.0
641,30.0,16.0,5.0,2.0
642,20.0,21.0,5.0,2.0
643,15.0,19.0,5.0,2.0
644,4.0,21.0,4.0,2.0
645,11.0,18.0,4.0,2.0
646,34.0,13.0,4.0,2.0
647,14.0,15.0,4.0,2.0
648,1.0,16.0,1.0,2.0
649,11.0,20.0,5.0,2.0
650,8.0,19.0,3.0,2.0
651,19.0,16.0,5.0,2.0
652,29.0,18.0,5.0,2.0
653,27.0,14.0,5.0,2.0
654,29.0,17.0,5.0,2.0
655,6.0,23.0,2.0,2.0
656,27.0,20.0,4.0,2.0
657,20.0,18.0,4.0,2.0
658,13.0,22.0,5.0,2.0
659,3.0,17.0,5.0,2.0
660,27.0,20.0,4.0,2.0
661,2.0,19.0,3.0,2.0
662,19.0,21.0,5.0,2.0
663,13.0,21.0,4.0,2.0
664,28.0,27.0,5.0,2.0
665,5.0,19.0,4.0,2.0
666,23.0,19.0,4.0,1.0
667,23.0,16.0,3.0,2.0
668,22.0,17.0,3.0,2.0
669,16.0,17.0,3.0,2.0
670,0.0,15.0,4.0,2.0
671,16.0,15.0,5.0,2.0
672,38.0,15.0,5.0,2.0
673,19.0,16.0,4.0,2.0
674,24.0,15.0,3.0,2.0
675,28.0,18.0,5.0,2.0
676,0.0,15.0,1.0,1.0
677,7.0,18.0,4.0,2.0
678,6.0,17.0,3.0,2.0
679,16.0,17.0,5.0,2.0
680,13.0,16.0,5.0,2.0
681,8.0,15.0,1.0,2.0
682,20.0,14.0,5.0,2.0
683,31.0,16.0,4.0,2.0
684,12.0,19.0,2.0,2.0
685,0.0,15.0,1.0,0.0
686,17.0,14.0,5.0,2.0
687,19.0,20.0,4.0,2.0
688,28.0,18.0,5.0,2.0
689,26.0,17.0,5.0,2.0
690,20.0,19.0,3.0,2.0
691,0.0,16.0,3.0,1.0
692,16.0,15.0,5.0,2.0
693,32.0,19.0,5.0,2.0
694,40.0,15.0,5.0,1.0
695,20.0,18.0,5.0,2.0
696,8.0,15.0,1.0,2.0
697,32.0,15.0,4.0,2.0
698,20.0,16.0,5.0,2.0
699,22.0,15.0,5.0,2.0
700,12.0,16.0,4.0,2.0
701,19.0,21.0,5.0,2.0
702,15.0,16.0,2.0,2.0
703,11.0,13.0,5.0,2.0
704,23.0,21.0,5.0,2.0
705,35.0,15.0,5.0,2.0
706,26.0,26.0,5.0,2.0
707,16.0,16.0,5.0,2.0
708,36.0,18.0,5.0,2.0
709,29.0,17.0,5.0,2.0
710,17.0,16.0,5.0,2.0
711,22.0,19.0,4.0,2.0
712,18.0,18.0,4.0,2.0
713,16.0,19.0,4.0,2.0
714,16.0,17.0,3.0,2.0
715,14.0,18.0,5.0,2.0
716,0.0,17.0,2.0,1.0
717,0.0,14.0,3.0,2.0
718,8.0,16.0,5.0,2.0
719,23.0,19.0,5.0,2.0
720,21.0,18.0,3.0,2.0
721,14.0,14.0,5.0,2.0
722,22.0,18.0,4.0,2.0
723,29.0,16.0,4.0,2.0
724,29.0,20.0,5.0,1.0
725,26.0,21.0,4.0,2.0
726,20.0,21.0,5.0,2.0
727,18.0,19.0,3.0,2.0
728,26.0,16.0,5.0,2.0
729,1.0,19.0,5.0,2.0
730,12.0,19.0,5.0,2.0
731,12.0,15.0,5.0,2.0
732,5.0,18.0,1.0,2.0
733,14.0,16.0,5.0,2.0
734,10.0,15.0,5.0,2.0
735,7.0,17.0,4.0,2.0
736,4.0,13.0,5.0,2.0
737,32.0,17.0,5.0,2.0
738,23.0,17.0,4.0,2.0
739,35.0,17.0,5.0,1.0
740,28.0,19.0,4.0,1.0
741,2.0,20.0,2.0,2.0
742,21.0,17.0,4.0,1.0
743,36.0,19.0,5.0,2.0
744,31.0,16.0,5.0,2.0
745,19.0,21.0,4.0,2.0
746,6.0,16.0,5.0,2.0
747,4.0,17.0,5.0,2.0
748,2.0,14.0,3.0,2.0
749,0.0,15.0,5.0,2.0
750,0.0,15.0,4.0,2.0
751,8.0,18.0,4.0,2.0
752,0.0,18.0,3.0,2.0
753,0.0,17.0,3.0,2.0
754,4.0,13.0,1.0,2.0
755,13.0,15.0,5.0,2.0
756,12.0,15.0,5.0,2.0
757,10.0,16.0,4.0,2.0
758,3.0,19.0,2.0,2.0
759,9.0,17.0,2.0,2.0
760,3.0,13.0,1.0,2.0
761,6.0,15.0,4.0,2.0
762,18.0,16.0,4.0,2.0
763,20.0,15.0,4.0,2.0
764,23.0,19.0,4.0,2.0
765,10.0,17.0,4.0,2.0
766,0.0,25.0,2.0,2.0
767,30.0,22.0,5.0,2.0
768,16.0,15.0,4.0,2.0
769,19.0,22.0,5.0,2.0
770,31.0,16.0,4.0,2.0
771,33.0,14.0,4.0,2.0
772,3.0,15.0,2.0,2.0
773,19.0,22.0,4.0,2.0
