,mineral_count,vispen_count,scv_count,reward
407,1610.0,0.0,14.0,
408,1975.0,100.0,12.0,
409,95.0,468.0,14.0,
410,840.0,540.0,14.0,
411,610.0,444.0,13.0,
412,1390.0,184.0,13.0,
413,595.0,288.0,13.0,
414,870.0,408.0,12.0,
415,2550.0,144.0,15.0,
416,1185.0,304.0,17.0,
417,1010.0,364.0,15.0,
418,1420.0,12.0,14.0,
419,2205.0,100.0,15.0,
420,1795.0,512.0,17.0,
421,215.0,496.0,15.0,
422,1415.0,92.0,16.0,
423,1435.0,540.0,13.0,
424,935.0,192.0,14.0,
425,605.0,400.0,15.0,
426,1670.0,48.0,15.0,
427,1245.0,608.0,17.0,
428,810.0,204.0,15.0,
429,2575.0,0.0,19.0,
430,1165.0,308.0,14.0,
431,1075.0,496.0,17.0,
432,840.0,0.0,13.0,
433,2700.0,168.0,15.0,
434,1995.0,412.0,17.0,
435,2540.0,0.0,15.0,
436,1325.0,452.0,15.0,
437,865.0,168.0,14.0,
438,85.0,384.0,15.0,
439,875.0,376.0,15.0,
440,920.0,504.0,15.0,
441,1265.0,540.0,14.0,
442,265.0,540.0,16.0,
443,65.0,76.0,15.0,
444,845.0,116.0,15.0,
445,345.0,436.0,17.0,
446,2645.0,0.0,20.0,
447,2945.0,0.0,15.0,
448,25.0,332.0,15.0,
449,2500.0,48.0,15.0,
450,1155.0,256.0,15.0,
451,530.0,96.0,14.0,
452,330.0,480.0,13.0,
453,290.0,424.0,14.0,
454,600.0,456.0,15.0,
455,1505.0,172.0,14.0,
456,2810.0,240.0,15.0,
457,290.0,632.0,16.0,
458,1975.0,0.0,15.0,
459,2795.0,0.0,15.0,
460,1455.0,300.0,16.0,
461,1390.0,340.0,17.0,
462,1430.0,448.0,16.0,
463,880.0,456.0,16.0,
464,1365.0,492.0,15.0,
465,955.0,332.0,15.0,
466,2120.0,220.0,17.0,
467,1215.0,148.0,17.0,
468,580.0,520.0,15.0,
469,330.0,200.0,15.0,
470,785.0,104.0,14.0,
471,780.0,360.0,14.0,
472,390.0,344.0,15.0,
473,555.0,300.0,15.0,
474,270.0,336.0,15.0,
475,1895.0,128.0,15.0,
476,2125.0,360.0,19.0,
477,1060.0,716.0,14.0,
478,805.0,252.0,16.0,
479,1440.0,736.0,15.0,
480,555.0,416.0,15.0,
481,1515.0,300.0,13.0,
482,1935.0,236.0,13.0,
483,2830.0,128.0,15.0,
484,2920.0,0.0,21.0,
485,90.0,268.0,14.0,
486,60.0,368.0,14.0,
487,670.0,180.0,13.0,
488,975.0,544.0,14.0,
489,505.0,368.0,15.0,
490,410.0,448.0,14.0,
491,55.0,312.0,13.0,
492,1735.0,240.0,15.0,
493,2170.0,64.0,15.0,
494,2370.0,60.0,17.0,
495,925.0,268.0,12.0,
496,2375.0,128.0,15.0,
497,2275.0,160.0,15.0,
498,205.0,576.0,12.0,
499,170.0,556.0,13.0,
500,65.0,100.0,14.0,
501,845.0,272.0,15.0,
502,3130.0,0.0,15.0,
503,1290.0,468.0,15.0,
